season,player,team,salary
2016-17,Thomas Chabot,OTT,925000
2016-17,Cody Ceci,OTT,2250000
2016-17,Kyle Okposo,BUF,8000000
2016-17,Erik Gudbranson,VAN,3500000
2016-17,Tom Wilson,WSH,1750000
2016-17,Brian Campbell,CHI,1500000
2016-17,Anton Rodin,VAN,950000
2016-17,Evan Rodrigues,BUF,842500
2016-17,Devante Smith-Pelly,N.J,1250000
2016-17,Matthew Peca,T.B,925000
2016-17,Andrew Desjardins,CHI,800000
2016-17,Michael Chaput,VAN,600000
2016-17,Ryan White,ARI/MIN,1000000
2016-17,Sam Bennett,CGY,925000
2016-17,Colton Sceviour,FLA,950000
2016-17,Brett Kulak,CGY,680000
2016-17,Scott Wilson,PIT,590000
2016-17,Taylor Beck,EDM/NYR,650000
2016-17,Roman Polak,TOR,2250000
2016-17,Seth Helgeson,N.J,600000
2016-17,Morgan Rielly,TOR,5000000
2016-17,Jaden Schwartz,STL,5250000
2016-17,William Nylander,TOR,925000
2016-17,Andrej Sustr,T.B,1600000
2016-17,Brandon Carlo,BOS,717500
2016-17,David Pastrnak,BOS,925000
2016-17,Tyson Jost,COL,900000
2016-17,David Perron,STL,3750000
2016-17,Oskar Sundqvist,PIT,792500
2016-17,Tim Schaller,BOS,600000
2016-17,Brayden Schenn,PHI,6000000
2016-17,Justin Faulk,CAR,5500000
2016-17,Joseph Cramarossa,ANA/VAN,724500
2016-17,Daniel Carr,MTL,725000
2016-17,Radko Gudas,PHI,4000000
2016-17,Gabriel Bourque,COL,800000
2016-17,Roman Josi,NSH,4250000
2016-17,Jaccob Slavin,CAR,742500
2016-17,Greg Pateryn,DAL/MTL,750000
2016-17,Anton Stralman,T.B,4500000
2016-17,Adam Larsson,EDM,3000000
2016-17,Nic Dowd,L.A,630000
2016-17,Antoine Roussel,DAL,2200000
2016-17,Brian Lashoff,DET,650000
2016-17,Paul Byron,MTL,1300000
2016-17,Alex Wennberg,CBJ,925000
2016-17,Korbinian Holzer,ANA,700000
2016-17,Martin Marincin,TOR,1200000
2016-17,Ivan Provorov,PHI,925000
2016-17,Lawson Crouse,ARI,925000
2016-17,Jordan Staal,CAR,6000000
2016-17,Boyd Gordon,PHI,950000
2016-17,Elias Lindholm,CAR,2500000
2016-17,Erik Haula,MIN,1050000
2016-17,Anton Blidh,BOS,792500
2016-17,Patrick Cannone,MIN,600000
2016-17,Carl Soderberg,COL,4750000
2016-17,Dillon Simpson,EDM,925000
2016-17,John Tavares,NYI,6000000
2016-17,Alex Nylander,BUF,925000
2016-17,Remi Elie,DAL,767500
2016-17,Cam Atkinson,CBJ,3500000
2016-17,Nick Leddy,NYI,4500000
2016-17,Jordin Tootoo,CHI,750000
2016-17,Kris Russell,EDM,3100000
2016-17,Matt Dumba,MIN,2350000
2016-17,Buddy Robinson,OTT,750000
2016-17,Jack Skille,VAN,700000
2016-17,Mark Giordano,CGY,6750000
2016-17,Ryan Carpenter,S.J,600000
2016-17,Nelson Nogier,WPG,650000
2016-17,Simon Despres,ANA,2600000
2016-17,Kevin Labanc,S.J,667500
2016-17,Troy Stecher,VAN,925000
2016-17,Dwight King,L.A/MTL,2100000
2016-17,Jeff Petry,MTL,7000000
2016-17,Riley Barber,WSH,667500
2016-17,James Neal,NSH,5000000
2016-17,Alec Martinez,L.A,3900000
2016-17,Jordan Martinook,ARI,625000
2016-17,Tomas Tatar,DET,2750000
2016-17,Evgeny Kuznetsov,WSH,3400000
2016-17,John Quenneville,N.J,842500
2016-17,Brooks Orpik,WSH,5500000
2016-17,Yanni Gourde,T.B,575000
2016-17,Justin Abdelkader,DET,5500000
2016-17,Mike Vecchione,PHI,925000
2016-17,Artem Anisimov,CHI,5750000
2016-17,Reid Boucher,N.J/NSH/VAN,715000
2016-17,Jakob Chychrun,ARI,925000
2016-17,Clayton Stoner,ANA,3250000
