player,position,signed_after_season,length_years,cap_hit
Crosby,C,2011-2012,12,8700000
Carter,C,2009-2010,11,5272727
Jordan Staal,C,2011-2012,10,6000000
Couture,C,2017-2018,8,8000000
Kopitar,C,2014-2015,8,10000000
Schenn,C,2018-2019,8,6500000
Getzlaf,C,2012-2013,8,8250000
Bergeron,C,2012-2013,8,6875000
Zajac,C,2011-2012,8,5750000
Karlsson,C,2018-2019,8,5900000
Seguin,C,2017-2018,8,9850000
Stammer,C,2015-2016,8,8500000
Toews,C,2013-2014,8,10500000
Malkin,C,2012-2013,8,9500000
Kuznetsov,C,2016-2017,8,7800000
Giroux,C,2012-2013,8,8275000
Johansen,C,2016-2017,8,8000000
Scheiefle,C,2015-2016,8,6125000
Keller,C,2018-2019,8,7150000
McDavid,C,2016-2017,8,12500000
Eichel,C,2016-2017,8,10000000
Lee,C,2018-2019,7,7000000
Duchene,C,2018-2019,7,8000000
Tavares,C,2017-2018,7,11000000
Hayes,C,2018-2019,7,7142857
Killorn,C,2015-2016,7,4450000
Johnson,C,2016-2017,7,5000000
Sissons,C,2018-2019,7,2857143
O'Reilly,C,2014-2015,7,7500000
Shmaltz,C,2018-2019,7,5850000
Monahan,C,2015-2016,7,6375000
Nate Mac,C,2015-2016,7,6300000
Hischier,C,2018-2019,7,7224286
RNH,C,2012-2013,7,6000000
Nielsen,C,2015-2016,6,5250000
Kesler,C,2014-2015,6,6875000
Little,C,2016-2017,6,5291000
Backlund,C,2016-2017,6,5350000
Krejci,C,2013-2014,6,7250000
Dubinsky,C,2013-2014,6,5850000
Nelson,C,2018-2019,6,6000000
Tanev,C,2018-2019,6,3500000
Pageau,C,2019-2020,6,5000000
Marchessault,C,2016-2017,6,5000000
Coyle,C,2018-2019,6,5250000
Gourde,C,2017-2018,6,5166667
Kadri,C,2015-2016,6,4500000
Stepan,C,2014-2015,6,6500000
Jarnrok,C,2015-2016,6,2000000
Shaw,C,2015-2016,6,3900000
Lindholm,C,2017-2018,6,4850000
Rask,C,2015-2016,6,4000000
Rakell,C,2015-2016,6,3800000
Konecny,C,2018-2019,6,5500000
Couturier,C,2014-2015,6,4333333
Bo Horvat,C,2016-2017,6,5500000
Dvorak,C,2017-2018,6,4450000
Trochek,C,2015-2016,6,4750000
Bjugstad,C,2013-2014,6,4100000
White,C,2018-2019,6,4750000
Drai,C,2016-2017,6,8500000
Forsberg,C,2015-2016,6,6000000
Barkov,C,2014-2015,6,5900000
Backstrom,C,2018-2019,5,9200000
Backes,C,2015-2016,5,6000000
Soderberg,C,2019-2020,5,1000000
Helm,C,2015-2016,5,3850000
Eller,C,2016-2017,5,3500000
Henrique,C,2017-2018,5,5825000
Anisimov,C,2014-2015,5,4550000
Sutter,C,2014-2015,5,4375000
Faksa,C,2019-2020,5,3250000
JT Miller,C,2017-2018,5,5250000
Cizikas,C,2015-2016,5,3350000
Guentzel,C,2017-2018,5,6000000
Zibanejad,C,2016-2017,5,5350000
Larkin,C,2017-2018,5,6100000
Aho,C,2018-2019,5,8454000
Matthews,C,2017-2018,5,11634000
Komarov,C,2017-2018,4,3000000
Byron,C,2017-2018,4,3400000
Bonino,C,2016-2017,4,4100000
Lewis,C,2015-2016,4,2000000
Zack Smith,C,2015-2016,4,3250000
Perreault,C,2015-2016,4,4125000
Glendening,C,2015-2016,4,1800000
Stephenson,C,2019-2020,4,2750000
Jenner,C,2017-2018,4,3750000
Sundqvist,C,2018-2019,4,2750000
Hertl,C,2017-2018,4,5625000
Kerf,C,2018-2019,4,3500000
JT Compher,C,2018-2019,4,3500000
Pavelski,C,2018-2019,3,7000000
Stastny,C,2017-2018,3,6500000
Bozak,C,2017-2018,3,5000000
Craig Smaith,C,2019-2020,3,3100000
Ryan,C,2017-2018,3,3125000
Nash,C,2017-2018,3,2750000
Rowney,C,2017-2018,3,1133333
Sceviour,C,2016-2017,3,1200000
Wagner,C,2018-2019,3,1350000
Acciari,C,2018-2019,3,1666667
Carpenter,C,2018-2019,3,1000000
Dowd,C,2018-2019,3,750000
Girgensuns,C,2019-2020,3,2200000
Colemn,C,2017-2018,3,1800000
Kuraly,C,2017-2018,3,1275000
Danault,C,2017-2018,3,3083333
Cirelli,C,2019-2020,3,4800000
Point,C,2018-2019,3,6833333
Karlsson,C,2016-2017,3,2000000
Zacha,C,2018-2019,3,2250000
Tage Thompson,C,2019-2020,3,1400000
Filppula,C,2018-2019,2,3000000
Eric Staal,C,2018-2019,2,3250000
Turris,C,2019-2020,2,1650000
Clifford,C,2019-2020,2,1000000
Eakin,C,2019-2020,2,2250000
Johansson,C,2018-2019,2,4500000
Dowling,C,2018-2019,2,750000
Strome,C,2019-2020,2,4500000
Dzingel,C,2018-2019,2,3375000
Namestikov,C,2019-2020,2,2000000
Cousins,C,2019-2020,2,1500000
Par Lindholm,C,2018-2019,2,850000
Rooney,C,2019-2020,2,750000
Blackwell,C,2019-2020,2,725000
Tierny,C,2019-2020,2,3500000
Weal,C,2018-2019,2,1400000
Kellman,C,2019-2020,2,750000
Domi,C,2019-2020,2,5300000
Iafallo,C,2018-2019,2,2425000
Laughton,C,2018-2019,2,2300000
Copp,C,2018-2019,2,2280000
Dickinson,C,2018-2019,2,1500000
paul,C,2019-2020,2,1350000
Lindberg,C,2016-2017,2,1700000
Verhaege,C,2019-2020,2,1000000
Lafferty,C,2019-2020,2,750000
Paquette,C,2017-2018,2,1000000
Lazar,C,2019-2020,2,800000
Motte,C,2019-2020,2,1225000
Heinen,C,2018-2019,2,2800000
Kampf,C,2018-2019,2,1000000
Appleton,C,2019-2020,2,900000
ZAR,C,2018-2019,2,1000000
Highmore,C,2019-2020,2,725000
MacEwen,C,2019-2020,2,825000
Angello,C,2019-2020,2,725000
Barbashev,C,2018-2019,2,1475000
Fabbri,C,2019-2020,2,2950000
Bennett,C,2018-2019,2,2550000
Athanasiou,C,2017-2018,2,3000000
Fischer,C,2019-2020,2,1000000
Stephens,C,2019-2020,2,737500
Amadio,C,2018-2019,2,700000
Harkins,C,2019-2020,2,725000
Trenin,C,2019-2020,2,725000
Eriksson Ek,C,2018-2019,2,1487500
Donato,C,2018-2019,2,1900000
Gambrell,C,2018-2019,2,700000
Thorton,C,2019-2020,1,700000
Koivu,C,2019-2020,1,1500000
Thompson,C,2019-2020,1,750000
Spezza,C,2019-2020,1,700000
Boyle,C,2018-2019,1,940000
Haley,C,2019-2020,1,700000
Ennis,C,2019-2020,1,1000000
Brassard,C,2018-2019,1,1200000
Gagner,C,2019-2020,1,850000
Haula,C,2019-2020,1,1750000
Drew Shore,C,2016-2017,1,700000
Granlund,C,2019-2020,1,3750000
Haas,C,2019-2020,1,915000
Janmark,C,2019-2020,1,2250000
Hinostroza,C,2019-2020,1,1000000
Simon,C,2019-2020,1,700000
Gally,C,2019-2020,1,1050000
Wennberg,C,2019-2020,1,2250000
Jankowski,C,2019-2020,1,700000
Toninato,C,2019-2020,1,700000
Caggiula,C,2019-2020,1,700000
Shore,C,2017-2018,1,750000
Grigorenko,C,2016-2017,1,1200000
Wallmark,C,2019-2020,1,950000
Kahun,C,2019-2020,1,975000
Hayden,C,2019-2020,1,750000
Suomela,C,2019-2020,1,700000
Reinhart,C,2019-2020,1,5200000
Gaudette,C,2019-2020,1,950000
Stenlund,C,2019-2020,1,874125
Jost,C,2019-2020,1,874125
Patrick,C,2018-2019,1,874125
Landeskog,L,2012-2013,7,5571429
Ehlers,L,2016-2017,7,6000000
Matthew Tkatchuk,L,2018-2019,3,7000000
Ovi,L,2006-2007,13,9538462
Saad,L,2014-2015,6,6000000
Drouin,L,2016-2017,6,5500000
Ritchie,L,2017-2018,3,1533333
Crouse,L,2018-2019,3,1533333
Kempe,L,2018-2019,3,2000000
Beauvillier,L,2018-2019,2,2100000
Dal Colle,L,2018-2019,2,700000
Meier,L,2018-2019,4,6000000
Connor,L,2018-2019,7,7142857
Gaudreau,L,2015-2016,6,6750000
Huberdeau,L,2015-2016,6,5900000
Wood,L,2017-2018,4,2750000
Perlini,L,2018-2019,1,874125
Fiala,L,2018-2019,2,3000000
Vrana,L,2018-2019,2,3350000
Bjork,L,2019-2020,3,1600000
Hintz,L,2019-2020,3,3150000
Wagner,L,2019-2020,3,1133333
Greenway,L,2019-2020,2,2100000
Balcers,L,2019-2020,1,735000
Linblom,L,2019-2020,3,3000000
Blais,L,2019-2020,2,1500000
Schwartz,L,2015-2016,5,5350000
Arvidsson,L,2016-2017,7,4250000
Pearson,L,2016-2017,4,3750000
Teuvo,L,2017-2018,5,5400000
Vatrano,L,2017-2018,3,2533333
Johnston,L,2017-2018,4,1000000
Khaira,L,2018-2019,2,1200000
Lehkonen,L,2018-2019,2,2400000
Johnsson,L,2018-2019,4,3400000
Bucjnevic,L,2018-2019,2,3250000
Sanford,L,2018-2019,2,1500000
Milano,L,2019-2020,2,1700000
