player,pos,team,salary,caphit
Alexei Kovalev,RW,MTL,6600000,
José Théodore,G,MTL,5500000,
Saku Koivu,C,MTL,4250000,
Patrice Brisebois,D,MTL,4000000,
Donald Audette,RW,MTL,3000000,
Yanic Perreault,C,MTL,2800000,
Craig Rivet,D,MTL,2500000,
Joé Juneau,C,MTL,2025000,
Niklas Sundstrom,RW,MTL,1950000,
Richard Zednik,LW,MTL,1850000,
Karl Dykhuis,D,MTL,1600000,
Sheldon Souray,D,MTL,1600000,
Stéphane Quintal,D,MTL,1500000,
Andreas Dackell,RW,MTL,1400000,
Andrei Markov,D,MTL,1300000,
Jan Bulis,C,MTL,1150000,
Marcel Hossa,LW,MTL,1075000,
Mathieu Garon,G,MTL,1000000,
Mike Ribeiro,C,MTL,847000,
Chad Kilger,C,MTL,800000,
Jim Dowd,C,MTL,775000,
Jason Ward,RW,MTL,750000,
Michael Ryder,RW,MTL,605000,
Francis Bouillon,D,MTL,500000,
Pierre Dagenais,LW,MTL,500000,
Darren Langdon,LW,MTL,500000,
Gordie Dwyer,LW,MTL,484000,
Steve Bégin,C,MTL,400000,
Joe Thornton,C,BOS,5500000,
Glen Murray,RW,BOS,3850000,
Sergei Gonchar,D,BOS,3650000,
Sergei Samsonov,LW,BOS,3650000,
Daniel McGillis,D,BOS,3200000,
Brian Rolston,LW,BOS,3175000,
Sean O'Donnell,D,BOS,2700000,
Michael Nylander,C,BOS,2675000,
Hal Gill,D,BOS,2000000,
Rob Zamuner,LW,BOS,2000000,
Travis Green,C,BOS,1600000,
Nicholas Boynton,D,BOS,1550000,
P.J. Axelsson,LW,BOS,1300000,
Félix Potvin,G,BOS,1300000,
Shaone Morrisonn,D,BOS,1130000,
Jeff Jillson,D,BOS,1025000,
Patrice Bergeron,C,BOS,900000,
Mike Knuble,RW,BOS,800000,
Sandy McCarthy,RW,BOS,800000,
Jiri Slegr,D,BOS,800000,
Ian Moran,D,BOS,700000,
Michal Grosek,RW,BOS,600000,
Andrew Raycroft,G,BOS,550000,
P.J. Stock,LW,BOS,550000,
Ted Donato,LW,BOS,450000,
Craig MacDonald,C,BOS,400000,
Daniel Alfredsson,RW,OTT,5050000,
Peter Bondra,RW,OTT,4500000,
Wade Redden,D,OTT,4500000,
Greg DeVries,D,OTT,4200000,
Radek Bonk,C,OTT,3500000,
Marian Hossa,RW,OTT,2750000,
Bryan Smolinski,C,OTT,2650000,
Patrick Lalime,G,OTT,2575000,
Zdeno Chara,D,OTT,2400000,
Curtis Leschyshyn,D,OTT,2000000,
Chris Phillips,D,OTT,1675000,
Sami Salo,D,OTT,1675000,
Martin Havlat,RW,OTT,1500000,
Todd Simpson,D,OTT,1500000,
Vaclav Varada,RW,OTT,1500000,
Todd White,C,OTT,1150000,
Anton Volchenkov,D,OTT,1000000,
Mike Fisher,C,OTT,962500,
Karel Rachunek,D,OTT,900000,
Antoine Vermette,C,OTT,750000,
Shane Hnidy,D,OTT,725000,
Petr Schastlivy,LW,OTT,662500,
Martin Prusek,G,OTT,625000,
Chris Neil,RW,OTT,575000,
Jason Spezza,C,OTT,565000,
Brian Pothier,D,OTT,525000,
Denis Hamel,LW,OTT,500000,
Jody Hull,RW,OTT,460000,
Shaun Van Allen,C,OTT,450000,
Mats Sundin,C,TOR,9000000,
Brian Leetch,D,TOR,6600000,
Owen Nolan,RW,TOR,6500000,
Alexander Mogilny,RW,TOR,5500000,
Ron Francis,C,TOR,4453738,
Gary Roberts,LW,TOR,4250000,
Bryan McCabe,D,TOR,3500000,
Robert Reichel,C,TOR,3250000,
Tomas Kaberle,D,TOR,2750000,
Mikael Renberg,RW,TOR,2200000,
Tie Domi,RW,TOR,2000000,
Bryan Marchment,D,TOR,2000000,
Joe Nieuwendyk,C,TOR,2000000,
Darcy Tucker,C,TOR,1600000,
Ken Klee,D,TOR,1500000,
Aki-Petteri Berg,D,TOR,1400000,
Matthew Stajan,C,TOR,950000,
Nikolai Antropov,C,TOR,925000,
Tom Fitzgerald,RW,TOR,900000,
Wade Belak,D,TOR,850000,
Kyle Wellwood,C,TOR,825000,
Chad Kilger,C,TOR,800000,
Mikael Tellqvist,G,TOR,700000,
Trevor Kidd,G,TOR,650000,
Richard Jackman,D,TOR,585640,
Clarke Wilm,C,TOR,575000,
Alexei Ponikarovsky,LW,TOR,522500,
Craig Johnson,LW,TOR,500000,
Drake Berehowsky,D,TOR,450000,
Karel Pilar,D,TOR,450000,
Nathan Perrott,RW,TOR,400000,
Miroslav Satan,LW,BUF,4750000,
Alexei Zhitnik,D,BUF,3750000,
Chris Drury,C,BUF,3450000,
Stu Barnes,C,BUF,2800000,
Martin Biron,G,BUF,2200000,
Jay McKee,D,BUF,1700000,
Mike Grier,RW,BUF,1632000,
Daniel Briere,C,BUF,1600000,
Curtis Brown,LW,BUF,1600000,
Jean-Pierre Dumont,RW,BUF,1400000,
Maxim Afinogenov,RW,BUF,1300000,
Jochen Hecht,C,BUF,1300000,
Taylor Pyatt,LW,BUF,1127500,
Jeff Jillson,D,BUF,1025000,
Andy Delmore,D,BUF,1000000,
Ales Kotalik,RW,BUF,800000,
Brad Brown,D,BUF,750000,
Henrik Tallinder,D,BUF,643500,
James Patrick,D,BUF,600000,
Eric Boulton,LW,BUF,550000,
Brian Campbell,D,BUF,550000,
Mika Noronen,G,BUF,550000,
Milan Bartovic,RW,BUF,500000,
Adam Mair,C,BUF,483000,
Rory Fitzpatrick,D,BUF,375000,
Jason Botterill,LW,BUF,350000,
Andrew Peters,LW,BUF,350000,
Chris Taylor,C,BUF,350000,
Scott Stevens,D,NJD,6916747,
Martin Brodeur,G,NJD,6891103,
Patrik Elias,LW,NJD,4722249,
Scott Niedermayer,D,NJD,4000000,
Jeff Friesen,LW,NJD,3000000,
Brian Rafalski,D,NJD,3000000,
Viktor Kozlov,C,NJD,2300000,
Colin White,D,NJD,2250000,
Jan Hrdina,C,NJD,2200000,
Jamie Langenbrunner,RW,NJD,2077799,
John Madden,C,NJD,2000000,
Grant Marshall,RW,NJD,1600000,
Sergei Brylin,C,NJD,1550000,
Igor Larionov,C,NJD,1500000,
Turner Stevenson,RW,NJD,1350000,
Scott Gomez,C,NJD,1000000,
Paul Martin,D,NJD,1000000,
