player,pos,salary,caphit
Alexander Ovechkin,LW,9000000,9538462
Sidney Crosby,C,9000000,8700000
Brad Richards,C,7800000,7800000
Dany Heatley,LW,10000000,7500000
Zdeno Chara,D,7500000,7500000
Marian Hossa,RW,7450000,7450000
Scott Gomez,C,8000000,7357000
Joe Thornton,C,7200000,7200000
Thomas Vanek,LW,8000000,7142857
Brian Campbell,D,7142857,7142857
Jarome Iginla,RW,7000000,7000000
Jason Spezza,C,4000000,7000000
Henrik Lundqvist,G,7750000,6875000
Vincent Lecavalier,C,7166666,6875000
Roberto Luongo,G,7000000,6750000
Nikolai Khabibulin,G,6750000,6750000
Pavel Datsyuk,C,6700000,6700000
Dan Boyle,D,6666667,6666667
Daniel Briere,C,8000000,6500000
Wade Redden,D,8000000,6500000
Dion Phaneuf,D,7000000,6500000
Ed Jovanovski,D,6500000,6500000
Kimmo Timonen,D,8000000,6333333
Marian Gaborik,RW,7500000,6333333
Patrick Marleau,C,6300000,6300000
Ryan Smyth,LW,7250000,6250000
Chris Pronger,D,6250000,6250000
Patrik Elias,LW,6000000,6000000
Martin Havlat,RW,6000000,6000000
Jean-Sébastien Giguère,G,5500000,6000000
Miikka Kiprusoff,G,8500000,5833333
Andrei Markov,D,5750000,5750000
Mike Richards,C,5400000,5750000
Tomas Vokoun,G,5500000,5700000
Lubomir Visnovsky,D,7000000,5600000
Roman Hamrlik,D,5500000,5500000
Rick Nash,LW,6500000,5400000
Sheldon Souray,D,6250000,5400000
Evgeni Nabokov,G,5500000,5375000
Ryan Getzlaf,C,4500000,5325000
Corey Perry,RW,4500000,5325000
Mike Green,D,6000000,5250000
Alex Tanguay,LW,5375000,5250000
Simon Gagné,LW,5250000,5250000
Olli Jokinen,C,5250000,5250000
Martin St-Louis,RW,5000000,5250000
Martin Brodeur,G,5200000,5200000
Michal Rozsival,D,7000000,5000000
Sergei Gonchar,D,6000000,5000000
Mike Ribeiro,C,5000000,5000000
Marc Savard,C,5000000,5000000
Jeff Carter,C,4500000,5000000
Marc-Andre Fleury,G,3500000,5000000
Jaromir Jagr,RW,8360000,4940000
Jay Bouwmeester,D,4875000,4875000
Daniel Alfredsson,RW,3800000,4816951
Patrice Bergeron,C,5000000,4750000
Saku Koivu,C,4750000,4750000
Alexander Semin,LW,4200000,4600000
Shane Doan,RW,4550000,4550000
Ryan Malone,LW,6000000,4500000
David Legwand,C,5500000,4500000
Eric Staal,C,5000000,4500000
Ron Hainsey,D,4500000,4500000
Scott Hannan,D,4500000,4500000
José Théodore,G,4500000,4500000
Shea Weber,D,4500000,4500000
Martin Erat,LW,3500000,4500000
Milan Michalek,LW,3000000,4333333
Eric Brewer,D,4500000,4250000
Tomas Kaberle,D,4250000,4250000
Dustin Penner,LW,4250000,4250000
Ilya Bryzgalov,G,4000000,4250000
Mike Fisher,C,6000000,4200000
Scott Hartnell,LW,4700000,4200000
John-Michael Liles,D,3700000,4200000
Brenden Morrow,LW,4100000,4100000
Mark Streit,D,4100000,4100000
Ales Hemsky,RW,3600000,4100000
Pierre-Marc Bouchard,C,3350000,4080000
Robyn Regehr,D,4600000,4020000
Adrian Aucoin,D,4000000,4000000
Erik Cole,LW,4000000,4000000
Brian Gionta,RW,4000000,4000000
Michal Handzus,C,4000000,4000000
Michael Ryder,RW,4000000,4000000
Tom Gilbert,D,3500000,4000000
Nathan Horton,RW,3500000,4000000
Joni Pitkanen,D,3500000,4000000
Derek Roy,C,3500000,4000000
Ryan Whitney,D,3000000,4000000
Brad Boyes,RW,2500000,4000000
Andrej Meszaros,D,2500000,4000000
Dennis Wideman,D,3250000,3937500
Derek Morris,D,3950000,3916667
Milan Hejduk,RW,3900000,3900000
Patrick Sharp,C,3300000,3900000
Evgeni Malkin,C,984200,3834200
Paul Martin,D,4000000,3833333
Mike Commodore,D,4300000,3750000
Kevin Bieksa,D,4250000,3750000
Brooks Orpik,D,3750000,3750000
Brad Stuart,D,3750000,3750000
R.J. Umberger,C,3000000,3750000
Chris Kunitz,LW,3500000,3725000
Patrick Kane,RW,875000,3725000
Steven Stamkos,C,875000,3725000
Erik Johnson,D,850000,3700000
Vyacheslav Kozlov,LW,3850000,3666667
Barret Jackman,D,2500000,3625000
Jarret Stoll,C,4100000,3600000
Shawn Horcoff,C,3600000,3600000
Cory Sarich,D,3400000,3600000
Daniel Sedin,LW,3575000,3575000
Henrik Sedin,C,3575000,3575000
Ray Whitney,LW,3550000,3550000
Brent Burns,D,3000000,3550000
Sami Salo,D,3750000,3500000
Martin Biron,G,3500000,3500000
Brett Clark,D,3500000,3500000
Willie Mitchell,D,3500000,3500000
Mattias Ohlund,D,3500000,3500000
Chris Phillips,D,3500000,3500000
Tom Poti,D,3500000,3500000
Vaclav Prospal,LW,3500000,3500000
Miroslav Satan,LW,3500000,3500000
Brent Seabrook,D,3500000,3500000
Ryan Suter,D,3500000,3500000
Justin Williams,RW,3500000,3500000
Nick Schultz,D,3200000,3500000
Matt Carle,D,2950000,3437500
Dainius Zubrus,RW,3400000,3400000
Mike Cammalleri,LW,3600000,3350000
Marek Zidlicky,D,3500000,3350000
Maxim Afinogenov,RW,3500000,3333333
Mikko Koivu,C,3300000,3250000
Andrei Kostitsyn,LW,3250000,3250000
Steve Sullivan,C,3200000,3200000
Dustin Brown,RW,2600000,3175000
Zach Parise,LW,2500000,3125000
Rostislav Olesz,LW,1700000,3125000
Niklas Backstrom,G,3100000,3100000
Christian Ehrhoff,D,2750000,3100000
Stephen Weiss,C,2500000,3100000
Dustin Byfuglien,D,3000000,3000000
Jonathan Cheechoo,RW,3000000,3000000
Niklas Kronwall,D,3000000,3000000
Kari Lehtonen,G,3000000,3000000
Radim Vrbata,RW,3000000,3000000
Valtteri Filppula,C,2000000,3000000
Tim Connolly,C,3500000,2900000
Alexander Frolov,LW,3500000,2900000
Bryan Allen,D,3000000,2900000
Bryce Salvador,D,2900000,2900000
Toni Lydman,D,3150000,2875000
Matt Cullen,C,2875000,2875000
Fedor Tyutin,D,2250000,2843750
Mike Knuble,RW,2800000,2800000
Jamie Langenbrunner,RW,2800000,2800000
Daniel Cleary,RW,2500000,2800000
Wojtek Wolski,LW,2500000,2800000
Jonathan Toews,C,850000,2800000
Cam Barker,D,984200,2768600
Antoine Vermette,C,2525000,2762500
Tim Gleason,D,2000000,2750000
Ryan Miller,G,3500000,2666667
Cam Ward,G,2500000,2666667
Henrik Zetterberg,LW,2900000,2650000
Teemu Selanne,RW,3250000,2625000
Joe Corvo,D,2750000,2625000
Henrik Tallinder,D,2900000,2562500
Nikolai Zherdev,RW,3250000,2500000
David Backes,RW,2500000,2500000
Steve Bernier,RW,2500000,2500000
Jay Pandolfo,LW,2500000,2500000
Lee Stempniak,RW,2500000,2500000
Anton Volchenkov,D,2200000,2500000
Nicklas Backstrom,C,850000,2400000
Chuck Kobasew,RW,2000000,2333333
Joffrey Lupul,RW,2900000,2311667
Jim Vandermeer,D,2300000,2300000
Trevor Daley,D,2100000,2300000
Paul Gaustad,C,1700000,2300000
Keith Ballard,D,2500000,2275000
Raffi Torres,LW,2400000,2250000
Ruslan Fedotenko,LW,2250000,2250000
Tuomo Ruutu,C,2250000,2250000
Phil Kessel,RW,850000,2200000
Jack Johnson,D,850000,2150000
Chris Kelly,C,2500000,2125000
Alexei Ponikarovsky,LW,2240000,2105000
Dmitri Kalinin,D,2100000,2100000
Hal Gill,D,2100000,2075000
Brooks Laich,C,1700000,2066667
Nikolai Antropov,C,2150000,2050000
Dan Hamhuis,D,2250000,2000000
Mark Eaton,D,2000000,2000000
Jeff Halpern,C,2000000,2000000
Jan Hejda,D,2000000,2000000
Todd Bertuzzi,LW,1950000,1950000
Francis Bouillon,D,1875000,1875000
Jason Chimera,LW,1875000,1875000
Marek Schwarz,G,984000,1834200
Matthew Lombardi,C,1550000,1816667
Jussi Jokinen,LW,1875000,1812500
Vitaly Vishnevsky,D,2000000,1800000
Martin Skoula,D,1900000,1800000
Éric Bélanger,C,1750000,1750000
Ryan Kesler,C,1750000,1750000
Matthew Stajan,C,1750000,1750000
Dan Ellis,G,1500000,1750000
Chris Higgins,RW,1900000,1700000
Mike Komisarek,D,1900000,1700000
Alexander Steen,LW,1700000,1700000
Peter Mueller,RW,850000,1700000
Karl Alzner,D,875000,1675000
François Beauchemin,D,1650000,1650000
Joe Pavelski,C,1550000,1637500
Tomas Plekanec,C,1800000,1600000
Rostislav Klesla,D,1650000,1600000
Ryane Clowe,LW,1600000,1600000
Loui Eriksson,LW,1500000,1600000
Taylor Pyatt,LW,1575000,1575000
Radek Dvorak,RW,1600000,1550000
Daniel Girardi,D,1500000,1550000
Andrew Ladd,LW,1450000,1550000
Denis Grebeshkov,D,1500000,1500000
Jordan Leopold,D,1500000,1500000
Stéphane Robidas,D,1500000,1500000
Radek Martinek,D,1200000,1500000
Duncan Keith,D,1600000,1475000
Steve Ott,C,1350000,1425000
Pascal Dupuis,LW,1400000,1400000
Andrew Ference,D,1340000,1400000
Patrick Eaves,RW,1100000,1400000
Garnet Exelby,D,1400000,1391667
Rene Bourque,LW,1300000,1350000
Jamal Mayers,RW,1333333,1333333
Jonas Hiller,G,1300000,1300000
Braydon Coburn,D,1200000,1300000
Mark Stuart,D,1100000,1300000
Carlo Colaiacovo,D,1400000,1283333
Brian Lee,D,850000,1275000
T.J. Oshie,RW,850000,1275000
Jack Skille,RW,850000,1275000
Andrew Alberts,D,1400000,1250000
Zbynek Michalek,D,1400000,1250000
Patrik Berglund,C,850000,1246667
Gilbert Brule,C,765000,1246667
Scottie Upshall,RW,1250000,1225000
Brandon Sutter,C,875000,1225000
Manny Malhotra,C,1500000,1200000
Matt Cooke,LW,1200000,1200000
Steve Eminger,D,1200000,1200000
Curtis Glencross,LW,1200000,1200000
Mikael Samuelsson,RW,1200000,1200000
Dennis Seidenberg,D,1200000,1200000
Leland Irving,G,850000,1193333
Viktor Tikhonov,LW,875000,1175000
Matt Greene,D,1250000,1150000
Daniel Paille,LW,900000,1125000
Ty Wishart,D,750000,1121667
Chris Neil,RW,1200000,1100000
Lukas Krajicek,D,1100000,1100000
Tim Thomas,G,1100000,1100000
Mathieu Garon,G,1000000,1100000
Josh Gorges,D,1000000,1100000
Johan Hedberg,G,1087500,1087500
Steve Bégin,C,1300000,1057000
Colton Gillies,C,875000,1041667
Jason Pominville,RW,1375000,1033333
Kurtis Foster,D,1025000,1025000
Jiri Hudler,C,1150000,1015000
Alex Auld,G,1000000,1000000
Martin Reasoner,C,1000000,1000000
Pat Rissmiller,LW,1000000,1000000
Jonathan Sim,LW,1000000,1000000
Mike Moore,D,715000,1000000
Kyle Wellwood,C,997500,997500
Ryan Jones,RW,920000,984200
Lauri Korpikoski,C,688900,984200
Cory Schneider,G,688900,984200
Drew Stafford,RW,688900,984200
Travis Zajac,C,688900,984200
Tyler Eckford,D,685000,984000
Jordin Tootoo,RW,975000,975000
Nicklas Grossmann,D,900000,975000
Shane O'Brien,D,1025000,950000
Jay McClement,C,950000,950000
Mike Smith,G,950000,950000
Evgeny Artyukhin,RW,900000,950000
Kyle Chipchura,C,620000,942800
Brian Elliott,G,757720,942400
Johan Franzen,RW,1150000,941667
Ryan O'Byrne,D,700000,941667
Taylor Chorney,D,685000,941667
