player,team,position,caphit_2016-17,caphit_2017-18,salary_2016-17,salary_2017-18,salary_2018-19,salary_2019-20,salary_2020-21
Patrick Kane,CHI,Right,10.500,10.500,13.800,13.800,12.000,9.800,7.000
Jonathan Toews,CHI,Center,10.500,10.500,13.800,13.800,12.000,9.800,7.000
Anze Kopitar,LAK,Center,10.000,10.000,14.000,13.000,12.000,11.000,8.000
Alex Ovechkin,WAS,Left,9.538,9.538,10.000,10.000,10.000,10.000,10.000
Evgeni Malkin,PIT,Center,9.500,9.500,9.500,9.500,9.500,9.500,9.500
P.K. Subban,NAS,Defence,9.000,9.000,11.000,11.000,10.000,10.000,8.000
Sidney Crosby,PIT,Center,8.700,8.700,10.900,10.900,10.000,9.000,9.600
Corey Perry,ANA,Right,8.625,8.625,10.000,10.000,9.000,8.000,7.000
Henrik Lundqvist,NYR,Goaltender,8.500,8.500,9.500,9.000,7.500,7.000,5.500
Steven Stamkos,TBL,Center,8.500,8.500,9.500,9.500,9.500,9.500,9.500
Claude Giroux,PHI,Center,8.275,8.275,9.000,9.000,9.000,8.000,7.200
Ryan Getzlaf,ANA,Center,8.250,8.250,9.250,9.025,8.950,8.275,6.000
Jakub Voracek,PHI,Right,8.250,8.250,10.000,10.000,9.250,9.250,6.250
Shea Weber,MTL,Defence,7.857,7.857,12.000,12.000,6.000,6.000,6.000
Rick Nash,NYR,Left,7.800,7.800,8.000,8.200,UFA,,
Dustin Byfuglien,WPG,Defence,7.600,7.600,8.000,8.000,8.000,8.000,6.000
Ryan Suter,MIN,Defence,7.538,7.538,9.000,9.000,9.000,9.000,8.000
Zach Parise,MIN,Left,7.538,7.538,9.000,9.000,9.000,9.000,8.000
Ryan O'Reilly,BUF,Center,7.500,7.500,11.000,9.000,8.500,6.000,6.000
Pavel Datsyuk,ARI,Center,7.500,0.000,5.500,UFA,,,
Jason Spezza,DAL,Center,7.500,7.500,7.500,7.500,7.500,UFA,
Vladimir Tarasenko,STL,Right,7.500,7.500,8.000,7.000,7.000,9.500,5.500
Sergei Bobrovsky,CLB,Goaltender,7.425,7.425,8.500,6.500,6.200,UFA,
David Krejci,BOS,Center,7.250,7.250,7.250,7.500,7.500,7.000,7.000
Kris Letang,PIT,Defence,7.250,7.250,7.250,7.250,7.250,7.250,7.250
Bobby Ryan,OTT,Right,7.250,7.250,7.000,7.250,7.500,7.500,7.500
Daniel Sedin,VAN,Left,7.000,7.000,7.000,7.000,UFA,,
Henrik Sedin,VAN,Center,7.000,7.000,7.000,7.000,UFA,,
Paul Stastny,STL,Center,7.000,7.000,7.000,7.500,UFA,,
Pekka Rinne,NAS,Goaltender,7.000,7.000,7.000,7.000,7.000,UFA,
Drew Doughty,LAK,Defence,7.000,7.000,7.450,7.600,7.650,UFA,
Tuukka Rask,BOS,Goaltender,7.000,7.000,7.500,7.500,7.000,6.500,6.500
Dion Phaneuf,OTT,Defence,7.000,7.000,7.500,7.000,6.500,6.500,5.500
Zdeno Chara,BOS,Defence,6.917,6.917,5.000,4.000,UFA,,
Ryan Kesler,ANA,Center,6.875,6.875,7.875,6.675,6.675,6.675,6.675
Patrice Bergeron,BOS,Center,6.875,6.875,8.750,8.750,6.875,4.375,4.375
Brent Seabrook,CHI,Defence,6.875,6.875,9.000,9.000,9.000,7.500,5.000
Phil Kessel,PIT,Right,6.800,6.800,9.000,9.000,7.000,7.000,6.000
Mikko Koivu,MIN,Center,6.750,6.750,5.400,9.180,UFA,,
Joe Thornton,SJS,Center,6.750,0.000,6.750,UFA,,,
Mark Giordano,CGY,Defence,6.750,6.750,6.750,6.750,6.750,6.750,6.750
Johnny Gaudreau,CGY,Left,6.750,6.750,6.750,6.750,6.750,6.750,6.750
Nicklas Backstrom,WAS,Center,6.700,6.700,7.000,7.500,7.500,8.000,UFA
Patrick Marleau,SJS,Center,6.667,0.000,6.500,UFA,,,
Carey Price,MTL,Goaltender,6.500,6.500,7.000,7.000,UFA,,
Alex Pietrangelo,STL,Defence,6.500,6.500,7.000,7.000,7.000,7.500,UFA
Erik Karlsson,OTT,Defence,6.500,6.500,7.000,7.000,7.500,UFA,
Derek Stepan,NYR,Center,6.500,6.500,8.000,7.000,6.000,5.000,5.000
Sean Monahan,CGY,Center,6.375,6.375,6.500,6.500,6.750,6.750,6.000
Keith Yandle,FLA,Defence,6.350,6.350,7.500,7.500,7.500,5.750,5.750
Nathan MacKinnon,COL,Center,6.300,6.300,5.000,5.750,6.750,6.750,6.150
Mark Scheifele,WPG,Center,6.125,6.125,5.000,6.750,6.750,6.750,5.500
Braden Holtby,WAS,Goaltender,6.100,6.100,7.000,7.000,5.000,5.000,UFA
Henrik Zetterberg,DET,Left,6.083,6.083,7.500,7.000,3.350,1.000,1.000
Corey Crawford,CHI,Goaltender,6.000,6.000,6.000,6.000,6.000,5.000,UFA
Tomas Plekanec,MTL,Center,6.000,6.000,7.000,5.000,UFA,,
Milan Lucic,EDM,Left,6.000,6.000,8.000,8.000,7.000,6.000,4.000
Jordan Staal,CAR,Center,6.000,6.000,6.000,6.000,6.000,6.000,6.000
Cory Schneider,NJD,Goaltender,6.000,6.000,6.000,6.000,6.000,6.000,6.000
