Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [08/Sep/2026 18:18:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /data/seasons/1983-84.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:27] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:28] "GET /data/seasons/2003-04.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:28] "GET /data/seasons/1992-93.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /data/seasons/2007-08.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /data/seasons/1982-83.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:29] "GET /data/seasons/2008-09.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /data/seasons/1988-89.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /data/seasons/1986-87.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:31] "GET /data/seasons/2016-17.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/seasons/2001-02.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/seasons/2020-21.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:33] "GET /data/seasons/1985-86.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/seasons/2021-22.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/seasons/1983-84.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:35] "GET /data/seasons/1971-72.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:36] "GET /data/trophees.js HTTP/1.1" 200 -
